Harper, Robert
Hsu, Wynne
Iftode, Liviu
Kittler, Josef
Karlin, Anna
Kohonen, Teuvo
Ladner, Richard E.
Lenstra, Arjen
Livny, Miron
Marsan, Marco Ajmone
Meseguer, Jose
Murtagh, Fionn
Ng, Andrew Y.
Noy, Natasha
Oja, Erkki
Ooi, Beng Chin
Poole, David
Pontil, Massimiliano
Sarkar, Vivek
Sharir, Micha
Spafford, Eugene
Soffa, Mary Lou
Tullsen, Dean
Wang, Wei
Wolf, Alexander
Zwaenepoel, Willy
Aarts, Emile
Atallah, Mikhail
Blum, Manuel
Borning, Alan
Capkun, Srdjan
Coffman, Ed G.
Ducasse, Stephane
Dwork, Cynthia
Faltings, Boi
Fortnow, Lance
Gabow, Harold
Godefroid, Patrice
Gravano, Luis
Hager, Greg
Hamann, Bernd
Hull, Jonathan
Irwin, Mary Jane
Kearns, Michael
Korf, Rich
Lowe, David
Ma, Kwan-Liu
Mendling, Jan
Meyer, Bertrand
Miller, Dale
Minsky, Marvin
Mozer, Michael
Muntz, Richard
Obradovic, Zoran
Oviatt, Sharon
Palsberg, Jens
Paraboschi, Stefano
Paulson, Lawrence C.
Picco, Gian Pietro
Prasanna, Viktor
Sifakis, Joseph
Somani, Arun
Srinivasan, Aravind
Thiran, Jean-Philippe
Toueg, Sam
Vishkin, Uzi
Wang, Ke
Warmuth, Manfred K.
Weihl, William
Yang, Ming-Hsuan
Yao, Andrew
Yu, Eric
Zhao, Feng
Adleman, Leonard
Arpaci-Dusseau, Andrea
Bar-Noy, Amotz
Chambers, Craig
Choi, Sunghyun
Clarke, Edmund M.
Chomicki, Jan
Corne, David
Dustdar, Schahram
Edelsbrunner, Herbert
Ertl, Thomas
Feamster, Nick
Flanagan, Cormac
Feigenbaum, Edward
Freund, Yoav
Govindaraju, Venu
Gupta, Manish
Hartenstein, Hannes
Hell, Pavol
Jones, Neil D.
Juels, Ari
Larranaga, Pedro
Levine, Brian Neil
Lynch, Nancy
Majumdar, Rupak
Martin, Ralph
Mataric, Maja
Mitchell, John
McAllester, David
McCarthy, John
Nierstrasz, Oscar
Notkin, David
Owens, John
Pauly, Mark
Pelc, Andrzej
Perkins, Charles E.
Rabin, Michael O.
Reddy, Sudhakar
Reiter, Raymond
Sagiv, Yehoshua
Sarawagi, Sunita
Schuster, Assaf
Shahabi, Cyrus
Shapiro, Linda
Sivasubramaniam, Anand
Sohi, Gurindar S.
Stern, Jacques
Sudarshan, S.
Syverson, Paul
Thiran, Patrick
Tsotsos, John K.
Urbanke, Ruediger
Valiant, Leslie
Vaandrager, Frits
Vianu, Victor
Wilkinson, James H.
Xie, Xing
Yan, Shuicheng
Zhao, Ben Y.
